// Monsters Additional Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper

// Emperium
3331,EMPELIUM,Emperium,Emperium,90,20000000,0,0,0,1,60,71,40,50,1,17,80,50,26,20,10,12,0,8,26,0x120,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3332,EMPELIUM,Emperium,Emperium,90,20000000,0,0,0,1,60,71,40,50,1,17,80,50,26,20,10,12,0,8,26,0x120,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

// Bard & Dance - Ai
2605,aclown,aclown,aclown,99,1000000000,16777215,0,0,1,0,0,100,99,0,0,0,140,140,0,7,12,0,3,60,96,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2606,agyp,agyp,agyp,99,1000000000,16777215,0,0,1,0,0,100,99,0,0,0,140,140,0,7,12,0,3,60,96,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//  Monster Lv 99
3330,LV99,LV99,LV99,1,50,0,99999999999999999,99999999999999999999999,1,10,10,0,5,1,1,1,1,1,1,10,12,1,7,20,0x81,400,1872,672,480,99999999999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//Mob Random Ball 1-20
2657,Random_Ball,Random_Ball,Random_Ball,1,10,0,0,0,1,10,10,0,5,1,1,1,1,1,1,10,12,1,7,20,0x83,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7361,10000,0,0,0,0,0,0,0,0,0,0
2658,Random_Ball,Random_Ball,Random_Ball,1,10,0,0,0,1,10,10,0,5,1,1,1,1,1,1,10,12,1,7,20,0x83,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7362,10000,0,0,0,0,0,0,0,0,0,0
2659,Random_Ball,Random_Ball,Random_Ball,1,10,0,0,0,1,10,10,0,5,1,1,1,1,1,1,10,12,1,7,20,0x83,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7363,10000,0,0,0,0,0,0,0,0,0,0
2660,Random_Ball,Random_Ball,Random_Ball,1,10,0,0,0,1,10,10,0,5,1,1,1,1,1,1,10,12,1,7,20,0x83,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7364,10000,0,0,0,0,0,0,0,0,0,0
